SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
21,1,5,4,10,1,2,assistant manager,6,6,7,7,7,7,6,6,6,6,6,5,5,4,3,4,4,5,6,6,2,2,2,4,7,5,5,5,5,4,5,6,6,4,5,6,4,6,4,4,4,4,3,3,4,4,4,3,3,4,7,7,1,1,1,1,7,7,1,7,7,7,7,7,7,7,6,6,6,6,3,3,4,2,3,5,58,42,8,8,25,37,19,10,7,17,78,36,14,5,21,21,24,85,1,3,2,1
22,1,4,5,5,3,2,senior assistant,6,7,6,5,4,6,5,6,3,6,5,4,5,3,4,3,4,2,2,4,2,2,2,2,5,6,6,4,4,6,4,4,3,5,4,6,4,5,4,5,4,5,3,5,3,4,5,4,5,3,4,4,5,5,5,5,6,6,5,6,5,6,6,6,7,7,5,5,5,5,5,4,4,4,3,5,48,36,6,6,21,38,20,13,8,22,71,41,8,25,18,19,20,90,2,2,1,2
23,1,5,5,10,2,4,branch manager,6,6,7,5,4,7,5,7,5,5,6,6,6,7,6,6,7,7,4,2,2,2,7,6,7,4,5,5,7,6,6,6,6,6,5,4,4,5,5,5,2,5,5,1,1,4,4,3,7,4,1,1,7,7,7,7,6,6,7,7,1,6,6,6,1,1,5,5,5,5,3,5,4,4,4,4,52,56,4,15,27,43,14,17,5,20,89,36,2,35,18,3,20,78,2,3,2,2
24,1,4,5,7,6,4,manager,3,4,7,7,5,6,7,7,6,3,5,5,3,4,5,3,5,3,5,4,2,4,5,1,5,3,3,3,3,6,5,4,3,5,4,3,5,4,4,3,4,2,2,4,3,3,3,3,4,3,7,7,5,5,5,5,6,6,5,7,4,7,7,7,7,7,7,7,7,7,3,2,4,1,4,3,52,36,6,10,19,32,16,8,7,13,67,31,14,25,21,18,28,106,2,2,2,3
25,1,3,3,2,2,4,manager,2,4,4,4,4,4,4,4,3,5,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,33,30,8,12,20,32,15,9,6,15,72,30,8,20,9,12,16,65,1,1,1,2
26,2,4,5,8,1,6,supervisor,5,6,6,5,6,7,7,7,3,5,5,6,6,6,6,6,6,6,6,6,7,2,1,1,1,7,6,7,5,7,7,6,4,6,7,7,4,6,6,6,5,3,1,5,1,4,4,5,4,5,7,7,6,6,6,6,7,7,6,7,7,7,7,7,6,6,7,7,7,7,4,3,4,1,4,4,52,52,13,4,33,45,19,8,10,16,95,37,14,30,21,19,28,112,2,2,2,1
27,2,2,3,2,2,2,assistant,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,4,4,3,2,5,2,2,2,4,3,4,5,5,5,4,7,5,5,5,4,4,5,6,4,3,4,4,2,4,4,3,4,4,4,3,6,6,5,5,5,5,7,7,5,5,5,7,7,7,4,4,5,5,5,5,3,3,2,2,3,3,40,41,7,8,24,37,19,10,7,13,76,36,12,25,21,13,20,91,1,1,1,2
28,1,4,5,4,1,2,assistant,4,4,5,4,4,5,5,5,4,5,4,4,5,4,3,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,5,5,6,6,6,6,3,3,6,5,5,4,4,4,4,4,5,5,5,5,2,2,2,2,3,3,40,37,7,6,22,32,15,11,6,11,67,32,10,30,12,13,20,85,2,2,1,1
29,2,5,9,2,1,6,supervisor,5,6,6,6,6,7,6,7,3,5,5,6,5,6,5,6,5,5,6,7,2,1,1,1,6,6,7,5,6,6,6,4,6,7,7,4,6,5,6,4,5,3,1,5,5,5,5,5,4,5,7,7,6,6,6,6,7,7,6,7,7,7,7,7,7,7,4,4,4,4,4,3,4,1,4,4,52,48,9,3,26,50,25,8,10,16,88,43,14,30,21,21,16,102,2,3,1,1
30,1,6,5,25,15,7,GM,6,7,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,6,6,6,5,5,5,7,7,6,7,6,6,6,6,6,5,6,6,6,6,6,5,4,4,4,5,5,5,5,4,5,5,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,60,61,12,15,30,48,23,13,10,25,105,46,14,35,21,21,28,119,2,3,4,3
