SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
61,2,5,5,15,10,1,officer,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,3,3,2,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,2,2,2,2,6,6,6,6,6,6,4,4,4,4,3,4,45,49,5,15,23,36,20,12,8,20,79,40,12,30,6,14,24,86,2,3,3,3
62,1,6,3,25,2,4,senior manager,6,6,6,6,5,7,6,7,3,5,7,5,5,6,4,5,5,6,5,6,6,2,3,3,6,6,6,6,7,6,7,5,6,6,6,6,5,5,5,6,4,5,4,6,4,1,7,6,1,6,7,7,7,7,7,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,5,3,4,4,5,5,52,48,12,8,30,47,22,10,12,21,97,44,14,35,18,21,28,116,1,3,4,2
63,1,3,5,5,2,3,operation incharge,4,4,5,5,4,6,6,6,6,6,6,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,5,6,5,5,5,4,4,4,4,5,5,5,4,3,3,4,4,4,4,4,4,4,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,6,6,6,4,4,4,4,4,4,46,46,9,12,23,37,20,10,8,20,81,38,14,35,21,21,24,115,2,1,1,2
64,1,4,5,8,3,4,manager,7,5,6,7,6,5,7,5,5,4,7,6,7,5,6,5,5,7,5,6,6,6,7,6,5,7,6,4,3,3,5,4,5,7,5,3,7,4,7,4,4,5,3,3,5,4,4,4,3,5,7,7,4,4,4,4,6,6,4,4,6,5,5,5,4,4,7,7,7,7,3,4,5,2,3,4,53,52,12,19,22,45,21,11,8,18,98,40,14,20,15,14,28,91,2,2,2,2
65,1,6,4,20,4,4,senior manager,3,3,6,7,6,7,7,6,2,6,6,6,6,7,6,7,7,6,5,5,4,2,1,2,6,7,7,6,6,6,6,6,7,6,7,6,7,7,6,7,5,4,3,4,3,3,4,4,3,4,5,5,6,6,6,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,5,5,5,4,5,5,47,57,9,5,32,52,19,10,8,24,98,37,10,30,21,20,28,109,1,3,4,2
66,1,6,5,15,3,4,planning manager,7,6,7,7,6,6,5,6,5,7,7,6,7,6,4,6,7,6,6,6,7,2,2,2,4,6,6,6,6,6,7,6,6,6,6,5,5,4,5,5,5,5,3,4,4,4,4,5,4,4,6,6,5,5,5,5,7,7,5,6,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,55,56,13,6,30,46,22,12,8,25,95,42,12,25,21,19,28,105,2,3,3,2
67,1,5,5,12,10,1,officer,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,6,6,6,5,6,5,7,5,5,6,7,7,7,7,6,5,6,7,5,5,5,5,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,6,5,5,5,5,5,5,58,60,14,19,30,49,24,15,10,25,112,49,14,35,18,20,24,111,2,3,3,3
68,1,5,5,15,10,4,branch manager,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,6,7,6,5,6,7,5,7,5,5,5,6,7,7,6,6,5,6,7,7,6,6,6,5,5,5,5,4,4,4,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,63,59,11,18,30,47,22,15,10,23,106,47,14,30,18,18,24,104,2,3,3,3
69,2, ,4,12,7,2,assistant branch manager,6,6,6,6,6,7,7,6,7,7,7,6,6,6,6,7,7,6,7,7,6,6,5,5,4,4,4,5,6,7,7,7,7,6,6,6,6,7,7,7,4,5,5,3,3,3,4,3,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,5,5,4,57,58,13,16,32,47,17,15,8,21,108,40,14,30,18,16,20,98,1, ,3,3
70,2,4,4,5,3,2,assistant manager,6,6,6,6,7,7,7,7,7,7,7,6,5,5,6,6,5,5,7,7,7,6,5,4,5,6,6,6,7,7,5,6,7,7,7,6,6,6,7,7,5,5,5,4,4,4,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,59,52,14,15,31,53,23,15,9,24,113,47,14,30,21,18,24,107,1,2,1,2
71,1,3,4,4,2,2,assistant officer,6,6,7,7,5,6,7,7,6,6,5,5,6,6,6,6,6,6,5,5,4,5,5,5,6,6,5,6,6,6,5,5,6,6,6,5,5,5,5,6,5,5,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,2,2,2,2,5,4,4,4,4,4,57,52,9,15,28,45,21,13,8,21,97,42,12,30,15,13,8,78,1,1,1,2
72,1,5,5,12,3,4,branch manager,6,6,7,7,7,7,7,7,5,6,6,6,6,5,6,5,5,5,6,6,4,4,5,5,6,6,6,5,5,6,6,6,6,5,5,5, ,5,5,5,5,5,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,6,6,6,6,5,4,4,4,4,5,59,50,10,14,27, ,21,13,8,22, ,42,14,35,18,16,24,107,2,3,3,2
73,1,4,5,7,2,1,officer,6,6,7,7,6,6,6,6,4,6,5,5,5,6,5,5,5,5,5,5,4,5,5,4,6,5,5,6,5,6,5,5,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,7,7,6,6,6,6,6,6,6,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,54,47,9,14,26,43,20,12,8,21,92,40,14,30,12,14,20,90,2,2,2,2
74,2,3,4,4,2,2,assistant,6,6,7,7,5,7,7,7,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,4,4,4,4,5,4,57,54,10,15,26,44,20,12,8,20,95,40,12,25,18,17,24,96,1,1,1,2
75,2, ,4,5,2,2,assistant,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,6,6,6,6,5,6,5,7,6,7,5,7,7,7,7,6,6,6,5,6,7,5,5,5,4,4,5,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,4,4,63,56,12,17,33,50,24,15,9,24,112,48,14,30,18,20,28,110,1, ,1,2
76,2,4,4,12,10,4,manager,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,6,6,6,4,4,4,4,4,4,52,52,12,18,26,42,20,12,8,20,98,40,12,25,18,18,25,98,1,2,3,3
77,1,6,5,29,1,4,manager,6,5,5,6,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,3,3,3,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5,6,5,4,4,4,6,6,7,7,7,7,3,5,5,4,5,3,44,38,9,15,24,37,17,10,6,20,85,33,10,25,12,17,28,92,2,3,4,1
78,1,6,4,29,1,4,chief manager,6,5,6,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,5,5,4,5,5,4,3,3,3,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5,6,5,4,4,4,6,6,7,7,7,7,3,5,5,4,5,3,53,37,9,15,26,39,17,10,6,20,89,33,10,25,12,17,28,92,1,3,4,1
79,2,2,4,2, ,2,assistant officer,7,7,7,7,5,7,7,7,6,5,5,6,6,6,5,5,6,4,4,4,5,5,5,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,4,4,4,3,3,4,60,48,9,15,28,44,20,12,8,19,96,40,12,30,18,17,24,101,1,1,1, 
80,1,6,4,15,6,4,branch manager,6,6,7,7,7,7,7,7,6,7,6,6,6,5,6,6,6,6,6,6,4,5,5,6,5,5,6,6,5,6,6,6,5,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,5,60,54,10,16,29,43,20,13,8,22,98,41,14,30,18,18,24,104,1,3,3,3
81,1,5,4,10,1,4,branch manager,6,6,7,7,6,7,7,6,5,7,6,6,6,5,6,6,5,5,6,6,4,5,5,6,5,6,6,5,5,7,6,6,5,5,5,5,5,5,5,5,5,5,3,4,4,4,3,3,4,4,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,6,5,4,4,3,4,5,57,52,10,16,27,44,19,12,8,21,97,39,14,35,21,20,24,114,1,3,2,1
82,2,5,5,13,9,4,branch manager,6,6,6,7,7,7,7,7,7,7,6,6,6,6,5,6,6,6,6,6,4,5,6,6,6,6,7,6,7,7,7,6,6,7,7,6,7,7,6,6,5,5,5,5,4,4,4,5,5,4,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,4,4,4,4,4,5,60,54,10,17,32,53,22,15,9,21,112,46,14,35,21,18,24,112,2,3,3,3
83,1,5,5,12,7,4,branch manager,6,6,7,7,7,7,7,7,6,7,6,6,6,5,6,6,6,6,6,6,4,5,5,6,5,5,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,4,4,4,4,5,60,54,10,16,28,44,20,13,8,22,98,41,14,30,18,16,24,102,2,3,3,3
84,2,2,4,2,2,2,assistant,5,5,6,6,4,6,7,6,5,5,4,6,6,6,5,5,5,5,4,4,5,3,3,5,6,6,6,5,5,7,5,5,5,6,6,4,6,6,4,6,3,3,3,3,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,50,47,9,11,27,45,16,10,7,18,92,33,12,30,18,18,24,102,1,1,1,2
85,1,3,4,3,1,2,assistant officer,7,7,7,6,4,6,6,6,6,5,5,6,6,6,5,5,5,5,4,4,4,4,4,5,6,6,6,5,5,6,5,5,5,6,6,4,6,6,4,6,4,3,3,5,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,7,7,7,5,5,6,6,6,6,4,4,4,3,3,3,55,48,8,13,27,44,19,10,9,18,92,38,12,30,21,15,24,102,1,1,1,1
86,1,3,4,3, ,2, senior assistant,6,6,6,7,5,7,7,7,7,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,4,4,4,4,4,58,52,10,15,27,44,20,12,8,20,96,40,12,30,18,16,24,100,1,1,1, 
87,2,3,5,5,1,2,senior assistant,5,6,7,7,5,7,6,5,6,5,6,6,7,5,6,7,6,6,6,7,6,5,6,6,4,5,6,7,5,5,5,6,5,6,7,5,4,5,6,7,4,3,5,4,5,3,5,4,5,4,6,6,7,7,7,7,6,6,7,6,5,6,6,6,6,6,6,6,6,6,4,5,4,5,4,5,54,54,13,17,32,42,21,13,8,23,104,42,12,35,18,17,24,106,2,1,1,1
88,1,3,4,4,1,2,assistant,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,6,6,6,4,5,5,6,4,4,4,4,4,2,4,4,4,4,6,6,5,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,49,52,10,15,28,44,18,12,8,20,97,38,12,25,18,17,24,96,1,1,1,1
89,1,5,5,10,8,1,senior officer,7,7,7,7,4,7,7,7,6,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,6,6,5,5,6,6,6,6,5,5,6,6,6,6,4,4,4,5,4,4,59,49,10,18,30,47,20,12,8,21,105,40,12,25,18,16,24,95,2,3,2,3
90,1,3,4,5,1,1,assistant officer,6,6,7,7,5,7,7,7,6,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,58,51,10,15,26,44,21,12,8,20,95,41,12,30,18,18,24,102,1,1,1,1
91,2,2,4,2,2,2,assistant,5,5,6,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,4,5,5,4,4,4,4,4,4,4,4,4,4,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,4,4,4,52,54,12,15,26,40,20,12,8,22,93,40,14,30,18,18,24,104,1,1,1,2
92,1,4,5,5,2,1,officer,6,6,7,7,5,7,7,6,5,7,6,6,6,5,5,5,5,5,6,6,4,5,5,5,5,6,5,5,5,7,6,6,6,6,6,5,5,5,5,5,5,5,3,4,4,4,4,3,4,4,7,7,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,7,7,7,5,4,4,4,4,4,56,50,10,15,28,45,20,12,8,21,98,40,14,30,18,18,28,108,2,2,1,2
93,2,3,5,4,1,2,assistant,7,6,5,7,5,6,5,5,6,6,6,6,7,5,6,7,5,5,5,4,3,3,3,5,6,6,6,7,7,6,6,7,7,7,6,6,7,7,7,7,5,4,3,4,5,5,4,5,5,5,7,7,6,6,6,6,7,7,6,6,7,7,7,7,6,6,7,7,7,7,4,5,5,5,5,4,52,53,7,11,33,53,24,12,9,23,104,45,14,30,21,19,28,112,2,1,1,1
94,1,3,4,5,2,2,senior assistant,5,5,6,5,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,5,6,6,5,4,5,5,6,4,4,4,4,4,2,5,4,4,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,4,4,5,4,4,51,49,11,15,27,42,19,12,9,21,95,40,12,30,18,17,24,101,1,1,1,2
95,2,4,3,7,3,1,officer,4,6,7,7,5,7,7,5,6,5,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,5,6,5,6,6,6,6,6,7,5,5,5,5,6,7,4,4,3,3,4,3,4,2,3,4,7,7,6,6,6,6,6,6,6,6,4,5,5,5,6,6,5,5,5,5,4,4,4,5,4,5,54,52,10,18,29,47,17,10,7,22,104,34,14,30,15,16,20,95,1,2,2,2
96,2,2,4,1,1,2,assistant,7,7,7,7,5,6,6,6,6,5,4,5,4,4,4,4,5,5,5,5,4,5,5,3,5,5,6,6,6,6,5,5,6,6,6,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,6,6,6,6,6,6,5,5,6,5,6,6,6,6,5,5,5,5,5,5,4,4,4,3,3,3,57,40,9,13,27,45,20,13,9,18,94,42,12,30,18,16,20,96,1,1,1,1
97,2,2,4,1,1,2,assistant,5,5,7,6,4,6,3,7,3,5,4,7,6,6,6,6,6,3,4,4,5,3,5,3,6,6,6,5,4,7,5,5,5,6,6,4,5,6,4,5,3,3,3,4,3,3,3,4,4,5,6,6,6,6,6,6,7,7,6,6,7,7,7,7,5,5,6,6,6,6,4,4,4,2,2,3,46,49,9,11,26,43,16,10,9,17,89,35,12,30,21,17,24,104,1,1,1,1
98,1,4,4,5,2,1,assistant officer,7,7,7,7,4,7,7,7,7,6,5,6,6,5,5,5,5,5,6,6,4,6,6,5,5,5,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,60,48,10,17,27,42,18,12,7,21,96,37,12,30,18,16,20,96,1,2,1,2
99,1,5,5,11,3,1,officer,6,6,6,7,6,7,6,6,5,7,6,6,6,5,6,6,5,5,6,6,4,5,5,5,5,6,5,5,6,6,6,5,5,5,5,5,6,5,5,5,5,5,3,3,3,4,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,5,7,7,7,7,5,4,4,3,4,4,55,52,10,15,26,44,18,12,7,20,95,37,12,30,21,16,28,107,2,3,3,2
100,1,5,5,20,17,2,assistant manager,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,63,63,14,19,26,42,25,15,10,25,101,50,14,30,15,15,20,94,2,3,4,3
101,1,5,5,12,7,4,branch manager,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,5,5,5,6,6,6,7,4,4,4,4,4,5,5,5,4,4,6,6,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,5,5,63,63,12,18,32,49,23,12,8,25,111,43,12,25,18,20,28,103,2,3,3,3
102,1,4,5,12,10,2,assistant,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,7,7,6,5,5,5,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,63,59,12,18,32,51,22,15,9,23,113,46,14,35,21,21,24,115,2,2,3,3
103,1,5,5,12,6,3,officer,7,7,7,7,7,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,7,5,5,5,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,59,61,14,21,34,51,22,15,9,23,120,46,14,35,18,18,24,109,2,3,3,3
104,1,5,5,18,12,4,branch manager,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,6,6,6,6,7,6,6,5,6,7,7,7,6,6,6,6,5,5,5,6,7,5,5,5,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,63,59,12,19,32,48,22,15,9,25,111,46,14,35,21,19,24,113,2,3,4,3
105,1,5,5,12,7,1,officer,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,6,6,6,7,7,6,7,7,7,7,7,7,6,6,6,7,7,5,5,5,5,5,4,4,5,5,4,7,7,7,7,7,7,6,6,7,6,7,6,6,6,7,7,6,6,6,6,5,5,5,5,5,5,63,61,14,19,35,53,23,15,9,25,121,47,14,35,18,21,24,112,2,3,3,3
106,1,4,5,12,7,4,branch manager,7,7,7,7,7,7,6,6,7,7,7,7,6,6,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,7,7,5,5,5,5,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,61,59,13,18,34,54,22,15,10,25,119,47,14,35,18,18,24,109,2,2,3,3
107,2,5,4,5,1,2,assistant,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,7,7,5,4,4,5,5,4,4,5,5,5,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,5,63,58,12,18,31,50,23,13,10,23,111,46,14,35,18,18,24,109,1,3,1,1
108,2,3,4,5,2,1,officer,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,6,7,7,7,6,6,6,5,5,5,6,6,7,6,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,63,59,14,18,33,51,21,13,9,25,116,43,14,35,21,19,24,113,1,1,1,2
109,2,3,4,5,2,2,assistant,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,7,7,7,5,5,5,5,4,4,4,4,4,7,4,4,6,6,6,6,7,7,6,6,6,6,6,6,5,5,7,7,7,7,5,5,5,5,5,5,63,54,14,19,33,52,21,14,12,25,118,47,8,30,18,16,28,100,1,1,1,2
110,1,5,4,12,5,1,officer,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,6,5,5,6,7,6,5,6,7,7,7,5,4,5,5,4,4,4,4,4,4,7,7,6,6,6,6,7,7,6,7,6,6,6,6,6,6,7,7,7,7,5,5,5,5,5,5,63,59,14,21,29,51,21,13,9,25,115,43,14,30,18,18,28,108,1,3,3,2
111,2,3,4,5,1,2,senior assistant,7,7,6,6,6,7,7,7,6,6,5,6,7,6,6,6,7,5,7,6,5,7,6,7,5,6,7,6,5,6,6,7,6,5,7,6,6,5,7,6,4,5,4,4,5,3,4,5,4,5,6,6,7,7,7,7,6,6,7,6,7, , , ,6,6,6,6,6,6,5,4,5,3,4,5,59,54,11,20,32,48,21,13,9,22,111,43,12,35, ,19,24, ,1,1,1,1
112,2,3,5,1,1,2,assistant manager,6,6,7,7,6,6,6,6,5,7,7,7,7,7,7,6,6,6,6,6,5,6,6,5,7,7,7,7,5,7,6,6,6,6,6,5,6,7,7,7,4,4,3,5,5,5,4,4,4,4,7,7,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7,7,7,7,5,5,5,4,4,5,55,60,11,17,32,51,22,11,9,24,111,42,14,20,18,20,28,100,2,1,1,1
113,1,5,5,15,12,1,senior officer,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,6,6,4,5,5,5,5,5,5,5,6,6,6,5,5,5,4,4,3,4,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,52,43,10,12,26,41,19,11,8,20,89,38,12,30,18,18,24,102,2,3,3,3
114,2,4,4,7,15,2,accountant,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,6,5,5,5,6,6,6,6,5,5,4,4,4,4,5,4,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,54,45,10,18,28,43,21,12,8,20,99,41,12,25,18,17,24,96,1,2,2,3
115,1,5,5,15,7,4,branch manager,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,6,6,7,7,6,6,6,6,5,5,5,6,6,6,6,7,7,6,6,6,5,5,6,6,6,5,5,5,4,4,4,5,5,5,5,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,63,54,12,17,32,46,23,15,9,23,107,47,14,30,18,18,24,104,2,3,3,3
116,2,3,5,1,1,2,assistant,6,7,7,7,6,7,7,7,7,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,6,7,6,7,6,6,6,7,6,6,7,7,6,3,4,1,5,5,4,5,4,3,4,6,4,6,6,6,6,6,6,6,7,6,7,7,7,6,6,7,7,7,7,3,4,5,4,4,4,61,51,12,15,32,50,21,8,9,20,109,38,10,30,21,18,28,107,2,1,1,1
117,1,4,5,2,2,4,regional manufacturing m,1,4,4,4,5,5,4,4,3,3,3,4,4,4,4,5,4,4,5,4,2,3,3,4,4,4,4,4,5,4,5,5,5,4,4,4,5,5,5,5,3,3,3,4,3,3,4,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,4,34,35,6,10,23,36,16,9,7,16,75,32,12,30,18,18,24,102,2,2,1,2
118,1,4,5,10,10,2,assistant manager,5,6,6,6,4,6,6,5,6,5,5,4,5,5,5,5,6,5,5,6,4,1,1,6,6,6,7,6,6,6,6,7,7,7,6,6,6,6,6,6,5,4,2,4,4,4,4,4,3,4,6,6,7,7,7,7,6,6,7,7,5,7,7,7,6,6,7,7,7,7,4,4,4,4,4,5,50,45,10,8,31,51,21,9,8,21,100,38,12,35,21,17,28,113,2,2,2,3
119,1,5,5,2,2,2,asset care manager,7,7,7,7,7,7,7,7,7,5,7,3,3,3,3,3,5,3,2,2,2,1,1,1,7,1,2,5,1,1,7,7,1,1,1,5,1,7,1,2,2,4,2,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,5,1,5,2,63,35,4,3,22,9,19,11,9,11,38,39,14,35,21,21,28,119,2,3,1,2
120,1,6,4,25,3,4,deputy manager,7,7,7,7,6,7,7,7,5,5,6,6,6,5,6,5,5,6,6,5,4,6,2,2,6,6,6,6,5,6,5,6,6,6,6,5,6,6,5,6,5,4,3,5,4,5,5,4,3,4,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,5,5,5,4,4,3,4,4,4,60,50,9,10,29,46,23,10,9,19,94,42,12,35,21,21,21,110,1,3,4,2
121,2,5,4,7,5,2,assistant accountant,5,6,6,6,6,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,5,5,5,6,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,52,51,11,16,27,43,20,12,8,20,97,40,12,30,18,18,24,102,1,3,2,2
122,1,4,4,2,2,2,assistant manager engine,5,7,7,5,7,7,7,4,1,2,2,1,1,6,3,2,1,4,4,6,1,1,1,7,7,7,6,4,7,7,5,5,7,6,6,4,7,4,5,5,1,1,4,3,1,3,2,1,2,7,1,1,5,5,5,5,1,1,5,7,7,7,7,7,2,2,4,4,4,4,1,4,1,5,4,4,50,22,7,9,25,52,8,7,10,15,93,25,2,25,21,11,16,75,1,2,1,2
123,2,3,5, , ,2,assistant,3,3,7,7,6,5,5,7,1,6,6,6,6,4,5,4,4,4,4,4,4,1,4,5,6,4,5,5,5,7,6,7,6,6,6,6,4,7,4,7,5,1,1,5,5,3,4,3,3,3,6,6,2,2,2,2,7,7,2,6,5,7,7,7,7,7,7,7,7,7,3,5,2,5,4,4,44,45,8,10,31,41,20,5,8,19,90,33,12,10,21,19,28,90,2,1, , 
